vendor_code,name,hex_color,oklch_l,oklch_c,oklch_h,color_family
K001-496,Nectarine,f56a46,0.690,0.179,35.566,Red-orange
K001-853,Orangeade,f96a43,0.696,0.184,36.094,Red-orange
K001-400,Carrot,f8702a,0.700,0.184,44.003,Red-orange
K001-450,Torch,fb690a,0.694,0.197,44.490,Red-orange
K001-1370,Tangerine,f45c0c,0.667,0.201,41.143,Red-orange
K001-323,Flame,ef3e04,0.627,0.220,34.747,Red-orange
K001-1838,Chili,f13918,0.627,0.223,32.175,Red-orange
K001-865,Pimento,e5391d,0.606,0.212,31.869,Red-orange
K001-7,Tomato,dd241b,0.577,0.218,29.035,Red-orange
K001-1194,Lipstick,ee041d,0.598,0.242,26.829,Red
K001-1995,Crush,ef213a,0.611,0.232,22.912,Red
K001-1296,Poppy,dc1926,0.571,0.221,25.936,Red
K001-355,Cayenne,ac3028,0.499,0.162,28.166,Red
K001-449,Sunny,fbb608,0.819,0.168,80.821,Yellow-orange
K001-149,Papaya,fba607,0.790,0.168,72.368,Yellow-orange
K001-1849,Nacho Cheese,f48d06,0.738,0.169,61.619,Orange
K001-1482,School Bus,f9901a,0.750,0.169,60.419,Orange
K001-1320,Saffron,ec8717,0.718,0.163,59.876,Orange
K001-1265,Orange,fb7a05,0.717,0.186,51.106,Orange
